symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QQQ,2017-02-03 00:00:00+00:00,125.68,125.81,125.33,125.49,16957154,121.0298128283,121.1550028002,120.6927629039,120.8468428694,16957154,0.0,1.0
QQQ,2017-02-06 00:00:00+00:00,125.83,125.85,125.35,125.42,11630139,121.1742627958,121.1935227915,120.7120228996,120.7794328845,11630139,0.0,1.0
QQQ,2017-02-07 00:00:00+00:00,126.29,126.55,125.97,126.06,17541101,121.6172426964,121.8676226402,121.3090827656,121.3957527461,17541101,0.0,1.0
QQQ,2017-02-08 00:00:00+00:00,126.5,126.68,125.88,126.12,12569147,121.819472651,121.9928126121,121.222412785,121.4535327331,12569147,0.0,1.0
QQQ,2017-02-09 00:00:00+00:00,126.96,127.24,126.56,126.63,17542726,122.2624525515,122.532092491,121.877252638,121.9446626229,17542726,0.0,1.0
QQQ,2017-02-10 00:00:00+00:00,127.38,127.56,127.02,127.2,13915697,122.6669124607,122.8402524218,122.3202325386,122.4935724997,13915697,0.0,1.0
QQQ,2017-02-13 00:00:00+00:00,128.1,128.26,127.7199,127.76,19120150,123.3602723051,123.5143522705,122.9942360873,123.0328523786,19120150,0.0,1.0
QQQ,2017-02-14 00:00:00+00:00,128.53,128.535,127.74,128.15,16333480,123.7743622121,123.779177211,123.0135923829,123.4084222943,16333480,0.0,1.0
QQQ,2017-02-15 00:00:00+00:00,129.29,129.35,128.37,128.44,17891355,124.5062420478,124.5640220348,123.6202822467,123.6876922316,17891355,0.0,1.0
QQQ,2017-02-16 00:00:00+00:00,129.25,129.63,128.92,129.36,15098286,124.4677220564,124.8336619743,124.1499321278,124.5736520327,15098286,0.0,1.0
QQQ,2017-02-17 00:00:00+00:00,129.81,129.82,129.04,129.09,15563730,125.0070019354,125.0166319332,124.2654921018,124.313642091,15563730,0.0,1.0
QQQ,2017-02-21 00:00:00+00:00,130.45,130.53,129.99,130.03,18479628,125.623321797,125.7003617797,125.1803418965,125.2188618878,18479628,0.0,1.0
QQQ,2017-02-22 00:00:00+00:00,130.5,130.59,130.111,130.32,12110876,125.6714717862,125.7581417667,125.2968648703,125.4981318251,12110876,0.0,1.0
QQQ,2017-02-23 00:00:00+00:00,130.01,130.7,129.49,130.7,17489023,125.1996018921,125.864071743,124.6988420046,125.864071743,17489023,0.0,1.0
QQQ,2017-02-24 00:00:00+00:00,130.26,130.26,129.38,129.47,18624489,125.4403518381,125.4403518381,124.5929120283,124.6795820089,18624489,0.0,1.0
QQQ,2017-02-27 00:00:00+00:00,130.42,130.43,129.8,130.02,12008672,125.5944318035,125.6040618013,124.9973719375,125.20923189,12008672,0.0,1.0
QQQ,2017-02-28 00:00:00+00:00,130.02,130.45,129.66,130.39,16598581,125.20923189,125.623321797,124.8625519678,125.56554181,16598581,0.0,1.0
QQQ,2017-03-01 00:00:00+00:00,131.44,131.68,130.6,130.81,25813827,126.576691583,126.8078115311,125.7677717646,125.9700017192,25813827,0.0,1.0
QQQ,2017-03-02 00:00:00+00:00,130.78,131.43,130.62,131.43,19951386,125.9411117257,126.5670615851,125.7870317603,126.5670615851,19951386,0.0,1.0
QQQ,2017-03-03 00:00:00+00:00,131.02,131.06,130.341,130.65,13722749,126.1722316738,126.2107516651,125.5183548206,125.8159217538,13722749,0.0,1.0
QQQ,2017-03-06 00:00:00+00:00,130.73,130.95,130.21,130.56,12026151,125.8929617365,126.1048216889,125.3922018489,125.7292517732,12026151,0.0,1.0
QQQ,2017-03-07 00:00:00+00:00,130.51,131.08,130.28,130.45,15500945,125.681101784,126.2300116608,125.4596118338,125.623321797,15500945,0.0,1.0
QQQ,2017-03-08 00:00:00+00:00,130.74,131.15,130.46,130.57,15776027,125.9025917343,126.2974216457,125.6329517948,125.7388817711,15776027,0.0,1.0
QQQ,2017-03-09 00:00:00+00:00,130.84,131.02,130.14,130.71,20855253,125.9988917127,126.1722316738,125.324791864,125.8737017408,20855253,0.0,1.0
QQQ,2017-03-10 00:00:00+00:00,131.39,131.6,130.82,131.42,21922601,126.5285415938,126.7307715484,125.979631717,126.5574315873,21922601,0.0,1.0
QQQ,2017-03-13 00:00:00+00:00,131.61,131.64,131.27,131.34,10731575,126.7404015462,126.7692915397,126.4129816197,126.4803916046,10731575,0.0,1.0
QQQ,2017-03-14 00:00:00+00:00,131.29,131.36,130.76,131.31,14019689,126.4322416154,126.4996516003,125.92185173,126.4515016111,14019689,0.0,1.0
